cleaned_full_text,indexed_text
nunggu busway ampe setengah jam anjir,[0]nunggu [1]busway [2]ampe [3]setengah [4]jam [5]anjir
halo minn busway rute monas pulogadung jam masih beroperasi ga yaa,[0]halo [1]minn [2]busway [3]rute [4]monas [5]pulogadung [6]jam [7]masih [8]beroperasi [9]ga [10]yaa
jamanku merintis karir an gaji masih umr sering buka buat cari meetup disekitar kantor buat dapet makan malem gratis bonus belajar tech talk dari senior di industry itung nunggu jalanan gak macet halte busway sepi,[0]jamanku [1]merintis [2]karir [3]an [4]gaji [5]masih [6]umr [7]sering [8]buka [9]buat [10]cari [11]meetup [12]disekitar [13]kantor [14]buat [15]dapet [16]makan [17]malem [18]gratis [19]bonus [20]belajar [21]tech [22]talk [23]dari [24]senior [25]di [26]industry [27]itung [28]nunggu [29]jalanan [30]gak [31]macet [32]halte [33]busway [34]sepi
lagi kitang hinahanap kay tj or kay prince hahahahahahahah,[0]lagi [1]kitang [2]hinahanap [3]kay [4]tj [5]or [6]kay [7]prince [8]hahahahahahahah
jalur umum lancar malah milih jalur busway idiet,[0]jalur [1]umum [2]lancar [3]malah [4]milih [5]jalur [6]busway [7]idiet
reminder hari ini harusnya jam udah otw malah baru otw nangis di busway karna pasti telat meeting jam emang cuma diri sendiri yang bisa diandelin,[0]reminder [1]hari [2]ini [3]harusnya [4]jam [5]udah [6]otw [7]malah [8]baru [9]otw [10]nangis [11]di [12]busway [13]karna [14]pasti [15]telat [16]meeting [17]jam [18]emang [19]cuma [20]diri [21]sendiri [22]yang [23]bisa [24]diandelin
min kalau dari halte roxy mau ke halte pasar cempaka putih transit dimana ya,[0]min [1]kalau [2]dari [3]halte [4]roxy [5]mau [6]ke [7]halte [8]pasar [9]cempaka [10]putih [11]transit [12]dimana [13]ya
min saranin tj jaklingko dari jembatan tiga ke jelambar selatan dong,[0]min [1]saranin [2]tj [3]jaklingko [4]dari [5]jembatan [6]tiga [7]ke [8]jelambar [9]selatan [10]dong
pgn naik tj keliling jakarta ak pusing,[0]pgn [1]naik [2]tj [3]keliling [4]jakarta [5]ak [6]pusing
imo jaklingko ini jgn digratisin lah sih msh layak pun dgn bisa transjakarta jadi sepertinya tidak masalah,[0]imo [1]jaklingko [2]ini [3]jgn [4]digratisin [5]lah [6]sih [7]msh [8]layak [9]pun [10]dgn [11]bisa [12]transjakarta [13]jadi [14]sepertinya [15]tidak [16]masalah
tiap hari selalu murat marit kejar busway biar ga tunggu lama lagi kapan ya kita dikejar nya wkwk,[0]tiap [1]hari [2]selalu [3]murat [4]marit [5]kejar [6]busway [7]biar [8]ga [9]tunggu [10]lama [11]lagi [12]kapan [13]ya [14]kita [15]dikejar [16]nya [17]wkwk
ck tj lg goblok bgt dah hari ini taiii sumpah aplikasi jelek,[0]ck [1]tj [2]lg [3]goblok [4]bgt [5]dah [6]hari [7]ini [8]taiii [9]sumpah [10]aplikasi [11]jelek
bmw tabrak separator busway dan terbalik di jaksel polisi buka suara,[0]bmw [1]tabrak [2]separator [3]busway [4]dan [5]terbalik [6]di [7]jaksel [8]polisi [9]buka [10]suara
busway bau kentut ngaku ini siapa yg berulah,[0]busway [1]bau [2]kentut [3]ngaku [4]ini [5]siapa [6]yg [7]berulah
blm cobain naik whoosh bukan karna ga pengen tapi ga kebayang capeknya harus naik turun kereta sambil geret koper di whoosh nya cuma setengah jam perjalanan naik krl tj lrt nya udh makan waktu jam sendiri,[0]blm [1]cobain [2]naik [3]whoosh [4]bukan [5]karna [6]ga [7]pengen [8]tapi [9]ga [10]kebayang [11]capeknya [12]harus [13]naik [14]turun [15]kereta [16]sambil [17]geret [18]koper [19]di [20]whoosh [21]nya [22]cuma [23]setengah [24]jam [25]perjalanan [26]naik [27]krl [28]tj [29]lrt [30]nya [31]udh [32]makan [33]waktu [34]jam [35]sendiri
bukannya mau belain mallnya atau bagaimana tetapi apakah orang yang foto ini pernah jalan dari mrtbusway menuju mall plaza indonesia atau grand indonesia ini adalah akses untuk pejalan kaki untuk ke dua mall itu dan lihat lokasinya karena ini tag dari gmaps,[0]bukannya [1]mau [2]belain [3]mallnya [4]atau [5]bagaimana [6]tetapi [7]apakah [8]orang [9]yang [10]foto [11]ini [12]pernah [13]jalan [14]dari [15]mrtbusway [16]menuju [17]mall [18]plaza [19]indonesia [20]atau [21]grand [22]indonesia [23]ini [24]adalah [25]akses [26]untuk [27]pejalan [28]kaki [29]untuk [30]ke [31]dua [32]mall [33]itu [34]dan [35]lihat [36]lokasinya [37]karena [38]ini [39]tag [40]dari [41]gmaps
naik transjakarta yg pengemudinya perempuan dan disambut dgn senyuman gatau kenapa pengen nangis terharu bangga jadi perempuan,[0]naik [1]transjakarta [2]yg [3]pengemudinya [4]perempuan [5]dan [6]disambut [7]dgn [8]senyuman [9]gatau [10]kenapa [11]pengen [12]nangis [13]terharu [14]bangga [15]jadi [16]perempuan
boleh nyewa lawyer ga si ni jabingan kaga mau refund duit gwhhh,[0]boleh [1]nyewa [2]lawyer [3]ga [4]si [5]ni [6]jabingan [7]kaga [8]mau [9]refund [10]duit [11]gwhhh
terima kasih atas laporan anda laporan anda sudah di proses dengan nomor twkzzy pantau laporan melalui laman anda juga dapat melaporkan melalui aplikasi jakiedukasimasyarakat suksesjakartauntukindonesia,[0]terima [1]kasih [2]atas [3]laporan [4]anda [5]laporan [6]anda [7]sudah [8]di [9]proses [10]dengan [11]nomor [12]twkzzy [13]pantau [14]laporan [15]melalui [16]laman [17]anda [18]juga [19]dapat [20]melaporkan [21]melalui [22]aplikasi [23]jakiedukasimasyarakat [24]suksesjakartauntukindonesia
halte harmoni msh dtmpt lama atau sudah pindah ya krn ada proyek mrt itu,[0]halte [1]harmoni [2]msh [3]dtmpt [4]lama [5]atau [6]sudah [7]pindah [8]ya [9]krn [10]ada [11]proyek [12]mrt [13]itu
min halte kejaksaan csw kebiasaan setiap jam sibuk penumpang pulang kerja eskalator dan lift selalu mati dengan alasan lagi perbaikan dan kejadian ini sudah terjadi sudah hampir bulan terakhir ini swtiap weekday di jam sibuk sore,[0]min [1]halte [2]kejaksaan [3]csw [4]kebiasaan [5]setiap [6]jam [7]sibuk [8]penumpang [9]pulang [10]kerja [11]eskalator [12]dan [13]lift [14]selalu [15]mati [16]dengan [17]alasan [18]lagi [19]perbaikan [20]dan [21]kejadian [22]ini [23]sudah [24]terjadi [25]sudah [26]hampir [27]bulan [28]terakhir [29]ini [30]swtiap [31]weekday [32]di [33]jam [34]sibuk [35]sore
berangkat pulang sore dua hari berturut naik tj pertama kali sendirian apa yang ngga sih buat dd mentee menyala effort mentor,[0]berangkat [1]pulang [2]sore [3]dua [4]hari [5]berturut [6]naik [7]tj [8]pertama [9]kali [10]sendirian [11]apa [12]yang [13]ngga [14]sih [15]buat [16]dd [17]mentee [18]menyala [19]effort [20]mentor
tomoro coffee x jujutsu kaisen rosy hibiscus lemonade tomoro coffee halte transjakarta bundaran hi astra gondangdia menteng,[0]tomoro [1]coffee [2]x [3]jujutsu [4]kaisen [5]rosy [6]hibiscus [7]lemonade [8]tomoro [9]coffee [10]halte [11]transjakarta [12]bundaran [13]hi [14]astra [15]gondangdia [16]menteng
mau cerita tadi ketemu mas maniss banget ya allah awal ketemu karena beliau antri tj depok di depan aku terus pas masuk ke tj aku liat dia berdiri aku mikir cuma oh deket pasti di cibubur yaudah aku naik ke belakang duduk and then ternyata beliau duduk di sebrang,[0]mau [1]cerita [2]tadi [3]ketemu [4]mas [5]maniss [6]banget [7]ya [8]allah [9]awal [10]ketemu [11]karena [12]beliau [13]antri [14]tj [15]depok [16]di [17]depan [18]aku [19]terus [20]pas [21]masuk [22]ke [23]tj [24]aku [25]liat [26]dia [27]berdiri [28]aku [29]mikir [30]cuma [31]oh [32]deket [33]pasti [34]di [35]cibubur [36]yaudah [37]aku [38]naik [39]ke [40]belakang [41]duduk [42]and [43]then [44]ternyata [45]beliau [46]duduk [47]di [48]sebrang
capek sama hidup sendiri kayak kenapa kenapa kenapa nangis di halte sampe di busway gapernah stop maaf ya kalau aku terkesan caper kadang kare too eneergic buat berkomunikasi sama kalian karena pure aku ingin punya teman ada yang khawatirin atau bahkan perhatiin aku karena,[0]capek [1]sama [2]hidup [3]sendiri [4]kayak [5]kenapa [6]kenapa [7]kenapa [8]nangis [9]di [10]halte [11]sampe [12]di [13]busway [14]gapernah [15]stop [16]maaf [17]ya [18]kalau [19]aku [20]terkesan [21]caper [22]kadang [23]kare [24]too [25]eneergic [26]buat [27]berkomunikasi [28]sama [29]kalian [30]karena [31]pure [32]aku [33]ingin [34]punya [35]teman [36]ada [37]yang [38]khawatirin [39]atau [40]bahkan [41]perhatiin [42]aku [43]karena
min busway tanjung duren ke ciledug jam gak yah besok,[0]min [1]busway [2]tanjung [3]duren [4]ke [5]ciledug [6]jam [7]gak [8]yah [9]besok
min posiissi tj dri halte stasiun jatinegara ke halte kampung melayu dongg dari tadi di tungguin ngga ada,[0]min [1]posiissi [2]tj [3]dri [4]halte [5]stasiun [6]jatinegara [7]ke [8]halte [9]kampung [10]melayu [11]dongg [12]dari [13]tadi [14]di [15]tungguin [16]ngga [17]ada
kata gue si perbanyak busway c ye masa udah setengah jam yang lewat baru yang bener ajalah anjir,[0]kata [1]gue [2]si [3]perbanyak [4]busway [5]c [6]ye [7]masa [8]udah [9]setengah [10]jam [11]yang [12]lewat [13]baru [14]yang [15]bener [16]ajalah [17]anjir
apaapaan katanya rute transjakarta yg blok mkota mau ditiadakan anjeeeng,[0]apaapaan [1]katanya [2]rute [3]transjakarta [4]yg [5]blok [6]mkota [7]mau [8]ditiadakan [9]anjeeeng
masa gw nonton ini aja mewek sih trs pertama liat siyeon g sengaja teriak dong untung gw blm deket antrian busway tapi beneran deh hawa siyeon kuat bngt sp dia g kaleng emng,[0]masa [1]gw [2]nonton [3]ini [4]aja [5]mewek [6]sih [7]trs [8]pertama [9]liat [10]siyeon [11]g [12]sengaja [13]teriak [14]dong [15]untung [16]gw [17]blm [18]deket [19]antrian [20]busway [21]tapi [22]beneran [23]deh [24]hawa [25]siyeon [26]kuat [27]bngt [28]sp [29]dia [30]g [31]kaleng [32]emng
gini bgt jadi penumpang tj hiksssssss mauuu pacaran di tj plisd,[0]gini [1]bgt [2]jadi [3]penumpang [4]tj [5]hiksssssss [6]mauuu [7]pacaran [8]di [9]tj [10]plisd
ah yati sa polomolok man diay sa sept si tj,[0]ah [1]yati [2]sa [3]polomolok [4]man [5]diay [6]sa [7]sept [8]si [9]tj
nunggu busway sampe sejam ngapain jug gue ya,[0]nunggu [1]busway [2]sampe [3]sejam [4]ngapain [5]jug [6]gue [7]ya
orang indonesia nih tolol anjing malah masuk jalur transjakarta bikin lama nunggu bisnya aja lagian tj udah ada dari lama bgt masih aja nerobos jalur tj dan bikin macet beli mobil doang otak ga ada,[0]orang [1]indonesia [2]nih [3]tolol [4]anjing [5]malah [6]masuk [7]jalur [8]transjakarta [9]bikin [10]lama [11]nunggu [12]bisnya [13]aja [14]lagian [15]tj [16]udah [17]ada [18]dari [19]lama [20]bgt [21]masih [22]aja [23]nerobos [24]jalur [25]tj [26]dan [27]bikin [28]macet [29]beli [30]mobil [31]doang [32]otak [33]ga [34]ada
gila cape bgt ngejar tj,[0]gila [1]cape [2]bgt [3]ngejar [4]tj
sebenernya emang paling males bawa kendaraan ke blok m motor pun susah cari parkir plus susah keluar kalo malem tapi ya mau gimana jam malam busway mrt krl malah ngurangin armada,[0]sebenernya [1]emang [2]paling [3]males [4]bawa [5]kendaraan [6]ke [7]blok [8]m [9]motor [10]pun [11]susah [12]cari [13]parkir [14]plus [15]susah [16]keluar [17]kalo [18]malem [19]tapi [20]ya [21]mau [22]gimana [23]jam [24]malam [25]busway [26]mrt [27]krl [28]malah [29]ngurangin [30]armada
ganti busway brokh,[0]ganti [1]busway [2]brokh
k ngapa dikit bgt dahh,[0]k [1]ngapa [2]dikit [3]bgt [4]dahh
min minta jadwal t hari ini terakhir jam berapa ya terima kasih,[0]min [1]minta [2]jadwal [3]t [4]hari [5]ini [6]terakhir [7]jam [8]berapa [9]ya [10]terima [11]kasih
ngapain juga dia masuk jalur busway sih padahal kirinya kosong gitu dikata jam malem banyak kontener,[0]ngapain [1]juga [2]dia [3]masuk [4]jalur [5]busway [6]sih [7]padahal [8]kirinya [9]kosong [10]gitu [11]dikata [12]jam [13]malem [14]banyak [15]kontener
manusia tolol udh pake jalur busway tambah lawan arah kaya gini mau menuju indonesia emas tai ledik,[0]manusia [1]tolol [2]udh [3]pake [4]jalur [5]busway [6]tambah [7]lawan [8]arah [9]kaya [10]gini [11]mau [12]menuju [13]indonesia [14]emas [15]tai [16]ledik
dari cawang ke tmii pintu naik jurusan yang mana,[0]dari [1]cawang [2]ke [3]tmii [4]pintu [5]naik [6]jurusan [7]yang [8]mana
hehehehe tj masuk bintaro ini beneran toh i mean masuk sampe ke bintaro plaza,[0]hehehehe [1]tj [2]masuk [3]bintaro [4]ini [5]beneran [6]toh [7]i [8]mean [9]masuk [10]sampe [11]ke [12]bintaro [13]plaza
apa yg sulit krl bisa turun di stasiun kemayorannyambung jaklingko selain itu dr uki bisa naik busway turun di kemayoran dr senayan ada busway wagub ini dr memang ngga pernah naik jaklingko busway dan krl sih yaah ngga tau jakarta apa aneh,[0]apa [1]yg [2]sulit [3]krl [4]bisa [5]turun [6]di [7]stasiun [8]kemayorannyambung [9]jaklingko [10]selain [11]itu [12]dr [13]uki [14]bisa [15]naik [16]busway [17]turun [18]di [19]kemayoran [20]dr [21]senayan [22]ada [23]busway [24]wagub [25]ini [26]dr [27]memang [28]ngga [29]pernah [30]naik [31]jaklingko [32]busway [33]dan [34]krl [35]sih [36]yaah [37]ngga [38]tau [39]jakarta [40]apa [41]aneh
pkok asal a itu motor jatuh gt mobil kiri depan egk bisa ngerem gt klo egk rem bkal ngelindes si motor gt jdi blio banting kanan gt kami yg posisi di kanan egk sempet ngerem egk bs banting kanan jga soal a ad tutupan busway,[0]pkok [1]asal [2]a [3]itu [4]motor [5]jatuh [6]gt [7]mobil [8]kiri [9]depan [10]egk [11]bisa [12]ngerem [13]gt [14]klo [15]egk [16]rem [17]bkal [18]ngelindes [19]si [20]motor [21]gt [22]jdi [23]blio [24]banting [25]kanan [26]gt [27]kami [28]yg [29]posisi [30]di [31]kanan [32]egk [33]sempet [34]ngerem [35]egk [36]bs [37]banting [38]kanan [39]jga [40]soal [41]a [42]ad [43]tutupan [44]busway
ini tj bau bgt ketek woy,[0]ini [1]tj [2]bau [3]bgt [4]ketek [5]woy
gue pernah gini di busway,[0]gue [1]pernah [2]gini [3]di [4]busway
hallo saya mau nanya untuk rute dari halte busway sumur bor mau ke emporium pluit mall lewat mana yaa terima kasih,[0]hallo [1]saya [2]mau [3]nanya [4]untuk [5]rute [6]dari [7]halte [8]busway [9]sumur [10]bor [11]mau [12]ke [13]emporium [14]pluit [15]mall [16]lewat [17]mana [18]yaa [19]terima [20]kasih
yg sabar tj stan,[0]yg [1]sabar [2]tj [3]stan
adakah yang baru saja merasa kehilangan kartu emoney tapcash kartu busway kartu kereta di busway k ke koridor ciledug petukangan utara adam malik kebayoran,[0]adakah [1]yang [2]baru [3]saja [4]merasa [5]kehilangan [6]kartu [7]emoney [8]tapcash [9]kartu [10]busway [11]kartu [12]kereta [13]di [14]busway [15]k [16]ke [17]koridor [18]ciledug [19]petukangan [20]utara [21]adam [22]malik [23]kebayoran
aman guys gue ga trauma naik tj kok tetap menjadi trasportasi umum andalan gue makasi buat doa baik nya kaget jg cukup banyak yg ikut speakup di threads gue karna dapat perlakuan pelecehan di tempat umum jg siapapun klian yg pernah sbg korban ayo bangkit lg,[0]aman [1]guys [2]gue [3]ga [4]trauma [5]naik [6]tj [7]kok [8]tetap [9]menjadi [10]trasportasi [11]umum [12]andalan [13]gue [14]makasi [15]buat [16]doa [17]baik [18]nya [19]kaget [20]jg [21]cukup [22]banyak [23]yg [24]ikut [25]speakup [26]di [27]threads [28]gue [29]karna [30]dapat [31]perlakuan [32]pelecehan [33]di [34]tempat [35]umum [36]jg [37]siapapun [38]klian [39]yg [40]pernah [41]sbg [42]korban [43]ayo [44]bangkit [45]lg
ngapain anjir mau muter balik di jalur busway,[0]ngapain [1]anjir [2]mau [3]muter [4]balik [5]di [6]jalur [7]busway
viral pria bawa sajam adang laju bus transjakarta di sarinah jakpus,[0]viral [1]pria [2]bawa [3]sajam [4]adang [5]laju [6]bus [7]transjakarta [8]di [9]sarinah [10]jakpus
woy bales dm,[0]woy [1]bales [2]dm
sumpahhh ternyata iyaa hari ini w keliling naik busway dan sepanjang itu ada aja ngeliat org pake lanyard perusahaan gede tadi ngeliat mas pake lanyard kpmg reflek langsung dalem hati njir kpmg duh keren bgt aku mawuuu pwc aja boleh plis ya allah,[0]sumpahhh [1]ternyata [2]iyaa [3]hari [4]ini [5]w [6]keliling [7]naik [8]busway [9]dan [10]sepanjang [11]itu [12]ada [13]aja [14]ngeliat [15]org [16]pake [17]lanyard [18]perusahaan [19]gede [20]tadi [21]ngeliat [22]mas [23]pake [24]lanyard [25]kpmg [26]reflek [27]langsung [28]dalem [29]hati [30]njir [31]kpmg [32]duh [33]keren [34]bgt [35]aku [36]mawuuu [37]pwc [38]aja [39]boleh [40]plis [41]ya [42]allah
min mohon info kesediaan jaklingko kenapa lama sekali ya gak lewat,[0]min [1]mohon [2]info [3]kesediaan [4]jaklingko [5]kenapa [6]lama [7]sekali [8]ya [9]gak [10]lewat
alhamdulillah busway sepi hehe keknya rangorang masih pada nongki jam segini,[0]alhamdulillah [1]busway [2]sepi [3]hehe [4]keknya [5]rangorang [6]masih [7]pada [8]nongki [9]jam [10]segini
s adalah bus transjakarta paling jelek,[0]s [1]adalah [2]bus [3]transjakarta [4]paling [5]jelek
lucu bgt jadi gue belom ke acara enha satupun karena malas terus gue ada urusan hari ini naik tj ke arah grogol tau ternyata loc yg gue datengin mana deket bgt neo soho nengok dikit ada fate terpampang emg disuruh dateng sama enha rupanya,[0]lucu [1]bgt [2]jadi [3]gue [4]belom [5]ke [6]acara [7]enha [8]satupun [9]karena [10]malas [11]terus [12]gue [13]ada [14]urusan [15]hari [16]ini [17]naik [18]tj [19]ke [20]arah [21]grogol [22]tau [23]ternyata [24]loc [25]yg [26]gue [27]datengin [28]mana [29]deket [30]bgt [31]neo [32]soho [33]nengok [34]dikit [35]ada [36]fate [37]terpampang [38]emg [39]disuruh [40]dateng [41]sama [42]enha [43]rupanya
ada pekerjaan pengecoran jalan di depan halte busway kota bambu jl letjend s parman arah tomang situasi arus lalulintas menjelang lokasi terjadi perlambatan,[0]ada [1]pekerjaan [2]pengecoran [3]jalan [4]di [5]depan [6]halte [7]busway [8]kota [9]bambu [10]jl [11]letjend [12]s [13]parman [14]arah [15]tomang [16]situasi [17]arus [18]lalulintas [19]menjelang [20]lokasi [21]terjadi [22]perlambatan
liputansonora masyarakat banyak berjalan kaki dari monas ke hi karena angkutan transjakarta tidak beroperasi di sekitar monas jalan thamrin ke patung kuda padat,[0]liputansonora [1]masyarakat [2]banyak [3]berjalan [4]kaki [5]dari [6]monas [7]ke [8]hi [9]karena [10]angkutan [11]transjakarta [12]tidak [13]beroperasi [14]di [15]sekitar [16]monas [17]jalan [18]thamrin [19]ke [20]patung [21]kuda [22]padat
kak mohon info rute dari bundaran hi ke juanda tjnya ada sampai jam berapa ya,[0]kak [1]mohon [2]info [3]rute [4]dari [5]bundaran [6]hi [7]ke [8]juanda [9]tjnya [10]ada [11]sampai [12]jam [13]berapa [14]ya
dear kenapa busway koridor tujuan kota jadi lama banget malam ini tadi di bunsen nunggu lebih dari menit mana desek desekan pengap ngantrinya biasanya ga selama itu kenapa bisa gitu sih cape banget jadinya,[0]dear [1]kenapa [2]busway [3]koridor [4]tujuan [5]kota [6]jadi [7]lama [8]banget [9]malam [10]ini [11]tadi [12]di [13]bunsen [14]nunggu [15]lebih [16]dari [17]menit [18]mana [19]desek [20]desekan [21]pengap [22]ngantrinya [23]biasanya [24]ga [25]selama [26]itu [27]kenapa [28]bisa [29]gitu [30]sih [31]cape [32]banget [33]jadinya
kesel ga sih effort ngerjain tugas di busway,[0]kesel [1]ga [2]sih [3]effort [4]ngerjain [5]tugas [6]di [7]busway
berharap banget krl citayem cibinong nambo dibikin rute sendiri kaya tj priok jakarta kota kesian warga rock bottom harus nunggu jam sekali sekalinya dateng ga kebagian karna warga depok dan sekitarnya ikut naik,[0]berharap [1]banget [2]krl [3]citayem [4]cibinong [5]nambo [6]dibikin [7]rute [8]sendiri [9]kaya [10]tj [11]priok [12]jakarta [13]kota [14]kesian [15]warga [16]rock [17]bottom [18]harus [19]nunggu [20]jam [21]sekali [22]sekalinya [23]dateng [24]ga [25]kebagian [26]karna [27]warga [28]depok [29]dan [30]sekitarnya [31]ikut [32]naik
min blok m pasar senen p pagi ini beroperasi kan ya,[0]min [1]blok [2]m [3]pasar [4]senen [5]p [6]pagi [7]ini [8]beroperasi [9]kan [10]ya
tenteng sajam pria adang bus transjakarta di sarinah,[0]tenteng [1]sajam [2]pria [3]adang [4]bus [5]transjakarta [6]di [7]sarinah
ya terus kapan abang sama adek ngumumin kalau mereka pacaran lu juga kemakan narasi sekte sesat tks btw anyway busway,[0]ya [1]terus [2]kapan [3]abang [4]sama [5]adek [6]ngumumin [7]kalau [8]mereka [9]pacaran [10]lu [11]juga [12]kemakan [13]narasi [14]sekte [15]sesat [16]tks [17]btw [18]anyway [19]busway
naik busway berangkat kerja biasanya udah sampe ini skarang ganti busway listrik lama bgt cokk ampun,[0]naik [1]busway [2]berangkat [3]kerja [4]biasanya [5]udah [6]sampe [7]ini [8]skarang [9]ganti [10]busway [11]listrik [12]lama [13]bgt [14]cokk [15]ampun
khusus untuk momentum pelantikan presiden dan wakil presiden ri minggu oktober besok pemerintah provinsi dki jakarta menerapkan tarif khusus sebesar rp untuk pengguna transjakarta mrt jakarta dan lrt jakarta,[0]khusus [1]untuk [2]momentum [3]pelantikan [4]presiden [5]dan [6]wakil [7]presiden [8]ri [9]minggu [10]oktober [11]besok [12]pemerintah [13]provinsi [14]dki [15]jakarta [16]menerapkan [17]tarif [18]khusus [19]sebesar [20]rp [21]untuk [22]pengguna [23]transjakarta [24]mrt [25]jakarta [26]dan [27]lrt [28]jakarta
dari halte denpasar ke bank dki fx senayan naiknya yang mana kak,[0]dari [1]halte [2]denpasar [3]ke [4]bank [5]dki [6]fx [7]senayan [8]naiknya [9]yang [10]mana [11]kak
infotransjakarta i koridor pinang ranti pluit mengalami pengalihan rute dikarenakan adanya truck menabrak separator di sekitar halte kali grogol sementara arah pinang ranti tidak dapat melayani pelanggan di halte kali grogol jaki perlutahu koridor,[0]infotransjakarta [1]i [2]koridor [3]pinang [4]ranti [5]pluit [6]mengalami [7]pengalihan [8]rute [9]dikarenakan [10]adanya [11]truck [12]menabrak [13]separator [14]di [15]sekitar [16]halte [17]kali [18]grogol [19]sementara [20]arah [21]pinang [22]ranti [23]tidak [24]dapat [25]melayani [26]pelanggan [27]di [28]halte [29]kali [30]grogol [31]jaki [32]perlutahu [33]koridor
wew enhypen mau ke sini ya ajak sunghoon mampir tj barat mau gak ya si akrab,[0]wew [1]enhypen [2]mau [3]ke [4]sini [5]ya [6]ajak [7]sunghoon [8]mampir [9]tj [10]barat [11]mau [12]gak [13]ya [14]si [15]akrab
tdi kan naik busway seperti biasa trs ada tuh satu penumpang normal yg duduk di kursi prioritas krna kosong kannah pas berenti ada yg naik ibu hamil baru bulan keliatannya nah si normal ini kaga mau ngalah anjing dia ga mau pindah gegara dia yg pertama naik,[0]tdi [1]kan [2]naik [3]busway [4]seperti [5]biasa [6]trs [7]ada [8]tuh [9]satu [10]penumpang [11]normal [12]yg [13]duduk [14]di [15]kursi [16]prioritas [17]krna [18]kosong [19]kannah [20]pas [21]berenti [22]ada [23]yg [24]naik [25]ibu [26]hamil [27]baru [28]bulan [29]keliatannya [30]nah [31]si [32]normal [33]ini [34]kaga [35]mau [36]ngalah [37]anjing [38]dia [39]ga [40]mau [41]pindah [42]gegara [43]dia [44]yg [45]pertama [46]naik
busway zhong tong pas ujan berasa jadi aleale di kulkas showcase,[0]busway [1]zhong [2]tong [3]pas [4]ujan [5]berasa [6]jadi [7]aleale [8]di [9]kulkas [10]showcase
maksudnya apa ya,[0]maksudnya [1]apa [2]ya
gbk dongg aduh skip deh jis akses transportnya susah banget gile jauh dari mana mana juga gbk tuh misal kesulitan naik buswayojolmrt juga jalan aja bareng carat yg lain bakalan nyampe juga ke stasiun krl terdekat,[0]gbk [1]dongg [2]aduh [3]skip [4]deh [5]jis [6]akses [7]transportnya [8]susah [9]banget [10]gile [11]jauh [12]dari [13]mana [14]mana [15]juga [16]gbk [17]tuh [18]misal [19]kesulitan [20]naik [21]buswayojolmrt [22]juga [23]jalan [24]aja [25]bareng [26]carat [27]yg [28]lain [29]bakalan [30]nyampe [31]juga [32]ke [33]stasiun [34]krl [35]terdekat
seriusan nanya ini klo nunggu busway gini berapa lama sih sebenernya,[0]seriusan [1]nanya [2]ini [3]klo [4]nunggu [5]busway [6]gini [7]berapa [8]lama [9]sih [10]sebenernya
sore min perjalanan terakhir dr st tj priok ke st sawah besar jam berapa ya,[0]sore [1]min [2]perjalanan [3]terakhir [4]dr [5]st [6]tj [7]priok [8]ke [9]st [10]sawah [11]besar [12]jam [13]berapa [14]ya
kemacetan terjadi imbas dari mobil yang menabrak separator busway di jalan slipi sehingga bus transjakarta menggunakan jalur umum untuk melintas p habib infolalinelshinta,[0]kemacetan [1]terjadi [2]imbas [3]dari [4]mobil [5]yang [6]menabrak [7]separator [8]busway [9]di [10]jalan [11]slipi [12]sehingga [13]bus [14]transjakarta [15]menggunakan [16]jalur [17]umum [18]untuk [19]melintas [20]p [21]habib [22]infolalinelshinta
bapak asu pengen banget gue tonjok titit sama batang lehernya grgr lecehin gue di busway,[0]bapak [1]asu [2]pengen [3]banget [4]gue [5]tonjok [6]titit [7]sama [8]batang [9]lehernya [10]grgr [11]lecehin [12]gue [13]di [14]busway
ini ibuibu udah gembrot nyelak antrian busway larilari dalam bus kek ini stop pertama anjir lo pasti kebagian duduk elah,[0]ini [1]ibuibu [2]udah [3]gembrot [4]nyelak [5]antrian [6]busway [7]larilari [8]dalam [9]bus [10]kek [11]ini [12]stop [13]pertama [14]anjir [15]lo [16]pasti [17]kebagian [18]duduk [19]elah
beli miayam trs kepikiran ngasih bapak busway hehe jadilah beli bapaknya so happyyy,[0]beli [1]miayam [2]trs [3]kepikiran [4]ngasih [5]bapak [6]busway [7]hehe [8]jadilah [9]beli [10]bapaknya [11]so [12]happyyy
ohh section sebelum ke ta ini emang bajingan semua yang ambil jalur busway si kntl itu ga sadar udah salah malah ngebut,[0]ohh [1]section [2]sebelum [3]ke [4]ta [5]ini [6]emang [7]bajingan [8]semua [9]yang [10]ambil [11]jalur [12]busway [13]si [14]kntl [15]itu [16]ga [17]sadar [18]udah [19]salah [20]malah [21]ngebut
halo min kalau dari patal senayan mau ke petamburan naik n bisa kan ya naiknya dari halte apa kalau naik n,[0]halo [1]min [2]kalau [3]dari [4]patal [5]senayan [6]mau [7]ke [8]petamburan [9]naik [10]n [11]bisa [12]kan [13]ya [14]naiknya [15]dari [16]halte [17]apa [18]kalau [19]naik [20]n
jam duduk di bangku busway gapapa tereak anjeng aja pegel bgt sumpehhhhhg,[0]jam [1]duduk [2]di [3]bangku [4]busway [5]gapapa [6]tereak [7]anjeng [8]aja [9]pegel [10]bgt [11]sumpehhhhhg
kayanya balik magang ga pernah ga kepikiran indomie ayam bawang tiap di tj deh,[0]kayanya [1]balik [2]magang [3]ga [4]pernah [5]ga [6]kepikiran [7]indomie [8]ayam [9]bawang [10]tiap [11]di [12]tj [13]deh
