Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,full_text,Sentiment,Emotion,original_tweet,cleaned_full_text
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??","kecewa sama toko official ini ga tau kenapa pesenan pertama ga di konfirmasi sampe di batalin sistem karena ga di respon sama sekali . pesanan kedua karena di suruh pesan lagi sama toko nya dan cuma di konfirmasi doang ga di kirim sampe udah tinggal 10 menit sebelum di batalin sistem lagi tapi untung nya gara chat cs tokopedia akhir nya barang bakalan di kirim di detik terakhir . ga cuma sampe situ aja payah nya barang baru di ambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari , proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paket nya sampe ? ?"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.","Packing seada nya , bubble ha nya selapis saja di tambah lapisan plastik , hasil nya barang di terima dalam keadaan patah ."
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,Mic dari awal ga nyala,Mic dari awal ga nyala
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.","KARTU SD NYA CUMA 29 , 71 GB , KATA NYA OFFICIAL , TAPI MALAH MKSOFFICIAL . KECEWA , INI TIDAK ORIGINAL ."
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,Kecepatan tdk sesuai dgn deskripsi,Kecepatan tdk sesuai dgn deskripsi
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,tidak berfugsi,tidak berfugsi
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .","Mouse kurang bagus , Pointer nya gerak gerak sendiri ."
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,infra red nya jelek suka mental ke mana2,infra red nya jelek suka mental ke mana 2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Batre tidak sesuai ukuran dan tidak ada nano receiver .
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,boros batre,boros batre
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,barang error 1,barang error 1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,","jaringa nya ngelek banget lelet mending pake indihome de , nyesel juga beli orbit jaringan ya parah ,"
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,tdk sesuai ekspektasi,tdk sesuai ekspektasi
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,lambat,lambat
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Negative,Sadness,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Kata nya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB . .
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Negative,Sadness,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit","tidak bisa di register call center Dan team orbin tidak helpful , untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukan nya tidak mau Cari rata 2 nomor telp tidak bisa di hubungin jadi apa salah nya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful , untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukan nya tidak mau Cari rata 2 nomor telp tidak bisa di hubungin jadi apa salah nya memberikan info yang valid menyesal Saya beli orbit"
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Tidak sesuai,Negative,Sadness,Tidak sesuai,Tidak sesuai
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Negative,Sadness,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...","janji bisa kirim instant segera karena kita mau pakai segera , nyata nya anda tutup toko baru di kirim . paket sampai malam . pas besok nya di coba ternyata SSD nya tidak terbaca . dan bilang nya kirim ke toko agarnbisa di kirim lagi segera yang baru . sama 2 di Tangerang ongkos gojek instant 33 rb berarti dekat . dan tidak di kirim 2 sampaiiii 2 minggu baru di kirim . sangat terlihat sengaja sekali di lama 2 in . sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf . dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai . kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari . . ."
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",Negative,Sadness,"beli 2 SSD, 1 diterima dalam kondisi rusak","beli 2 SSD , 1 di terima dalam kondisi rusak"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa","tidak berfungsi , tapi yaa sudahlah sudah di tambah daya pakai mikro usb cas hp tetap tidak bisa"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,kurang bagus... colok hardisk external tdk terdeteksi..,Negative,Sadness,kurang bagus... colok hardisk external tdk terdeteksi..,kurang bagus . . . colok hardisk external tdk terdeteksi . .
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa","tidak berfungsi , tapi yaa sudahlah sudah di tambah daya pakai mikro usb cas hp tetap tidak bisa"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Jakarta Utara,56000,4.8,18300,5431,1,"Produk kurang baik, dan rusak",Negative,Sadness,"Produk kurang baik, dan rusak","Produk kurang baik , dan rusak"
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",Negative,Sadness,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.","untuk kualitas ternyata sama dengan merk China lain 1080 p juga yang harga nya 300 rb an , bahkan lebih bagus merk lain di 600 rb an . lalu untuk pengiriman lambat sekali dari official store , pesan tgl 27 , sampai tgl 1 , sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp . cukup kecewa dengan produk dan pelayanan Logitech . kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya , tapi sy kapok beli di sini karena barang akan ha nya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa ."
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Negative,Sadness,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.","pengiriman 2 hari terlambat . padahal bilang bakal lgsg di kirim . habis order di chat lgsg ga respon . utk official store brand segede logitech , sungguh mengecewakan ."
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,848,1,mousenya kurang responsif. jd harus teken agak kuat,Negative,Sadness,mousenya kurang responsif. jd harus teken agak kuat,mouse nya kurang responsif . jd harus teken agak kuat
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,848,1,baru pake 2 bulan sensornya udah jelek suka kemana2,Negative,Sadness,baru pake 2 bulan sensornya udah jelek suka kemana2,baru pake 2 bulan sensor nya udah jelek suka kemana 2
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,5559,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Sangat kecewa . Baru 4 bulan scroll sudah rusak .
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,5559,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Negative,Sadness,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech","belom 1 bulan udah gak nyala , baterai udah di ganti tetap saja gak nyala . kecewa , udah 2 x di kerjain logitech"
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Jakarta Pusat,230000,4.9,1408,721,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",Negative,Anger,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN","Sangat mengecewakan , barang yg di kirim tidak sesuai konfirmasi , sampai harus bolak - balik 2 kali , saya harus nanggung 6 X ongkos kirim . . . . SANGAT MENGECEWAKAN"
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,1,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",Negative,Anger,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk","Kualitas chargeran jelek bangettt , baru tiga Hari pakai sudah rusakk"
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,1,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Negative,Anger,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata","Pelayanan toko jelek , proses barang lambat , di chat tidak menjawab , barang rata - rata"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,1,"Barang Rusak , Ga Guna Sama Sekali ... Parah",Negative,Anger,"Barang Rusak , Ga Guna Sama Sekali ... Parah","Barang Rusak , Ga Guna Sama Sekali . . . Parah"
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,3,"cepet rusak, kadang konek kadang engga",Negative,Anger,"cepet rusak, kadang konek kadang engga","cepet rusak , kadang konek kadang engga"
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Jakarta Pusat,379000,4.9,3185,1829,3,"barang gajelas lama sampai, kotak penyok�",Negative,Anger,"barang gajelas lama sampai, kotak penyok�","barang gajelas lama sampai , kotak penyok"
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",Negative,Anger,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.","SETELAH DICEK TIDAK UTUH 32 GB . KOK BISA YA ? ? ? ! ! . . KEMANA SISA 3 GB NYA MAS / MBA ? ? ? KRN LAGI BUTUH , YAUDAHLAH CUKUP TAU BELI DISINI . PERTAMA DAN TERAKHIR BELI DISINI ."
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,Negative,Anger,Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,Pesanan Saya TIDAK SAMPAI KE ALAMAT ! ! ! SAYA MAU UANG SAYA KEMBALI ! ! SAYA BELUM MENERIMA PESANAN SAYA
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,4099,1,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,Negative,Anger,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON % TL
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,4099,1,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",Negative,Anger,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA","ANJING TERNYATA PALSU INI BARANG BANGSAT 2 AWAS KETIPU OI , YANG ASLI ADA SEGEL DISTRIBUTOR NYA"
